idx,PORO,PERM
452,0.3537,0.84192
453,0.3559,0.648117
454,0.4032375,1.19202
455,0.3521375,1.20133
456,0.33691875,2.91605
457,0.34495,2.69969
458,0.355775,2.46518
459,0.3502875,0.999736
460,0.3631875,0.773412
461,0.36391875,0.880691
462,0.34594375,1.53807
463,0.3454625,1.65894
464,0.36105,3.51571
465,0.3558875,0.726828
466,0.35374375,1.53879
467,0.338975,2.50726
468,0.34254375,2.37648
469,0.3289,1.03545
470,0.34965,2.62311
471,0.33758125,1.71764
472,0.32531875,1.36923
473,0.39085625,5.50426
474,0.3775625,4.32682
475,0.317625,3.4413
476,0.36715625,2.79876
477,0.34220625,0.601133
478,0.3322375,1.15211
479,0.3292375,2.71446
480,0.3182375,0.477823
481,0.33058125,3.53566
482,0.33659375,1.40209
483,0.3282125,2.04458
484,0.33538125,1.71001
485,0.34125,2.15584
486,0.3183625,1.63296
487,0.29886875,0.946056
488,0.3519625,3.28356
489,0.34449375,2.02368
490,0.3155,0.801365
491,0.313375,1.87267
492,0.31903125,1.14432
493,0.336525,0.796805
494,0.47025625,5.34298
495,0.4710125,4.30036
496,0.451125,3.40223
497,0.4605875,4.21405
498,0.44376875,3.5328
499,0.4359625,1.2689
500,0.45673125,2.23458
501,0.43328125,3.80349
502,0.42015,2.446
503,0.4179875,4.13962
504,0.4297875,3.35316
505,0.42211875,3.47078
506,0.4308375,4.16605
507,0.3742125,1.59019
508,0.3709,2.29791
509,0.36676875,2.99103
510,0.3545875,1.1947
511,0.35695625,1.3387
512,0.37541875,2.41589
513,0.35644375,1.32177
514,0.3504125,0.700189
515,0.3612125,2.47239
516,0.36259375,1.82073
517,0.3586375,2.57638
518,0.33630625,2.3498
519,0.353375,1.53143
520,0.3517875,1.92196
521,0.35439375,2.4753
522,0.34685625,0.957462
523,0.3615125,1.28993
524,0.365675,1.42585
525,0.3434,2.86878
526,0.3476,2.57639
527,0.34951875,1.51119
528,0.34235,1.03602
529,0.34595625,0.815505
530,0.34850625,3.35624
531,0.3419375,1.31714
532,0.364225,2.38795
533,0.33765,2.13415
534,0.35865,2.79177
535,0.349325,1.38731
536,0.3204,1.32095
537,0.34791875,1.47989
538,0.334925,1.09247
539,0.3184,1.03209
540,0.349825,1.26333
541,0.3399,2.40292
542,0.34646875,1.35362
543,0.41658125,1.98519
544,0.3735625,1.80143
545,0.4503375,1.9782
546,0.4108625,3.56479
547,0.4320125,2.04902
548,0.3865,1.51305
549,0.42708125,2.22567
550,0.41173125,1.92756
551,0.4146375,1.70802
552,0.406925,2.56227
553,0.39721875,2.31111
554,0.38895,1.21536
555,0.349575,0.787501
556,0.38049375,1.42942
557,0.37924375,1.37648
558,0.38885625,0.798824
559,0.3935625,1.7867
560,0.3814625,2.00728
561,0.39258125,1.73709
562,0.38115625,0.586879
563,0.498475,5.08513
564,0.5004625,4.79888
565,0.481275,1.78721
566,0.437575,1.64874
567,0.50471875,2.74719
568,0.4940125,7.24118
569,0.42666875,2.13367
570,0.48059375,6.66163
571,0.45535,3.57568
572,0.44114375,2.17947
573,0.43940625,2.64966
574,0.40305,1.34862
575,0.4488875,2.74996
576,0.43389375,1.92489
577,0.381275,4.34023
578,0.36950625,2.45321
579,0.424225,1.67724
580,0.42516875,1.27945
581,0.4201625,3.86485
582,0.42920625,2.44875
583,0.45549375,4.28843
584,0.42045625,1.85157
585,0.35005,1.12385
586,0.4217875,1.09134
587,0.42071875,2.05776
588,0.4170875,2.08444
589,0.397375,1.96267
590,0.3321375,1.13464
591,0.41209375,2.3859
